SIRET,Nom de l'enseigne,nom_etab_officiel,search_query,type_activite,temporalité,Numéro et voie,Arrondissement,geo_point_2d
80886136300022,LA GRANGE DE REUILLY,Inconnu,LA GRANGE DE REUILLY 3 BOULEVARD DE REUILLY Paris,Restaurant,toute_annee,3 BOULEVARD DE REUILLY,75012.0,"48.839251693082225, 2.389708105108987"
50270723500011,ROYAL MONTGALLET,ROYAL MONTGALLET,ROYAL MONTGALLET 8 RUE DE RIESENER Paris,Restaurant,toute_annee,8 RUE DE RIESENER,75012.0,"48.84321871496259, 2.389267161405488"
95299004200014,HAENGBOK,HAENGBOK,HAENGBOK 24 RUE DE REUILLY Paris,Restaurant,toute_annee,24 RUE DE REUILLY,75012.0,"48.84704893906783, 2.3868838734722115"
88902416200022,GAVUX COMPANY,Inconnu,GAVUX COMPANY 5 BOULEVARD SOULT Paris,Restaurant,toute_annee,5 BOULEVARD SOULT,75012.0,"48.83594639882459, 2.40682968866517"
98445227600012,SWEET AND SALTY,Inconnu,SWEET AND SALTY 7 RUE THEOPHILE ROUSSEL Paris,Restaurant,que_ete,7 RUE THEOPHILE ROUSSEL,75012.0,"48.85016705910267, 2.376269379571216"
42163077300016,L ITALIA IN BOCCA,Inconnu,L ITALIA IN BOCCA 16 RUE GABRIEL LAME Paris,Restaurant,toute_annee,16 RUE GABRIEL LAME,75012.0,"48.834007011065175, 2.3875136785804405"
85172664600017,AU PAYS DE VANNES,AU PAYS DE VANNES,AU PAYS DE VANNES 34 RUE DE WATTIGNIES Paris,Restaurant,toute_annee,34 RUE DE WATTIGNIES,75012.0,"48.83587328104191, 2.3958145606746926"
93097974500013,BÁNH ET TEA,BÁNH & TEA,BÁNH ET TEA 10B RUE MONTGALLET Paris,Restaurant,toute_annee,10B RUE MONTGALLET,75012.0,"48.8429896455903, 2.3867756306550794"
40372767000024,SERCOZ,L'ARDOISIER,SERCOZ 17 RUE ABEL Paris,Restaurant,toute_annee,17 RUE ABEL,75012.0,"48.848188499017326, 2.375762603682992"
83876305000021,LE DOUZE LOUNGE PARIS,LE 12 LOUNGE PARIS,LE DOUZE LOUNGE PARIS 60 BOULEVARD DE BERCY Paris,Restaurant,que_ete,60 BOULEVARD DE BERCY,75012.0,"48.83887718230509, 2.387757824812596"
81885085100010,D'ORO,D'ORO,D'ORO 103 AVENUE DU GENERAL MICHEL BIZOT Paris,Restaurant,toute_annee,103 AVENUE DU GENERAL MICHEL BIZOT,75012.0,"48.83907988284856, 2.404061048476663"
84932459500016,CHICAGO FACTORY,L'ATELIER KIRAZ,CHICAGO FACTORY 16 RUE HENRI DESGRANGE Paris,Restaurant,toute_annee,16 RUE HENRI DESGRANGE,75012.0,"48.83962073195081, 2.381953980228369"
49234469200016,LE FAUBOURG,TONTON LULU,LE FAUBOURG 87 AVENUE LEDRU ROLLIN Paris,Restaurant,que_ete,87 AVENUE LEDRU ROLLIN,75012.0,"48.85114532008455, 2.3758574800434373"
53424636800029,FRANCHINVEST,LA BOITE A PIZZA,FRANCHINVEST 2 AVENUE COURTELINE Paris,Restaurant,toute_annee,2 AVENUE COURTELINE,75012.0,"48.844053669602324, 2.410725949165724"
98064543600018,GRILL ANTALYA,Inconnu,GRILL ANTALYA 4 RUE ABEL Paris,Restaurant,toute_annee,4 RUE ABEL,75012.0,"48.847885510088574, 2.3773909611239628"
42040322200011,REGINA,Inconnu,REGINA 1 RUE DE COTTE Paris,Restaurant,toute_annee,1 RUE DE COTTE,75012.0,"48.8483012699982, 2.3767928303919916"
94918549000016,STATION CAFÉ,Inconnu,STATION CAFÉ 27 BOULEVARD DIDEROT Paris,Bar,toute_annee,27 BOULEVARD DIDEROT,75012.0,"48.846156060698796, 2.3752148475585897"
80131069900013,REN,SUSHI YUKI,REN 61 RUE FRANCOIS TRUFFAUT Paris,Restaurant,que_ete,61 RUE FRANCOIS TRUFFAUT,75012.0,"48.83470944118588, 2.3877531459387056"
88167641500014,AU BON ACCUEIL,Inconnu,AU BON ACCUEIL 7 RUE CROZATIER Paris,Restaurant,toute_annee,7 RUE CROZATIER,75012.0,"48.845523499367566, 2.3825618969819273"
52431802900013,LE CHAROLAIS,LE CHAROLAIS,LE CHAROLAIS 15 RUE DE COTTE Paris,Restaurant,toute_annee,15 RUE DE COTTE,75012.0,"48.84930842586263, 2.3775046592927214"
88159896500021,U FRAULINO,Inconnu,U FRAULINO 27 RUE MONTGALLET Paris,Restaurant,que_ete,27 RUE MONTGALLET,75012.0,"48.84381876348782, 2.3883083701536814"
41256752100031,LE COMMERCE,CAFE DU COMMERCE,LE COMMERCE 33 BOULEVARD DE REUILLY Paris,Restaurant,que_ete,33 BOULEVARD DE REUILLY,75012.0,"48.839351718867434, 2.392651079940447"
34790645500014,LE NEMROD,Inconnu,LE NEMROD 2 AVENUE DAUMESNIL Paris,Restaurant,toute_annee,2 AVENUE DAUMESNIL,75012.0,"48.84907751873036, 2.371188284876766"
57214914400014,AUX CADRANS DU PLM,Inconnu,AUX CADRANS DU PLM 21TER BOULEVARD DIDEROT Paris,Restaurant,toute_annee,21TER BOULEVARD DIDEROT,75012.0,"48.845909707004914, 2.373017173927237"
90302610200017,LE PETIT MARIOLE,LE PETIT MARIOLE,LE PETIT MARIOLE 1 AVENUE DE SAINT MANDE Paris,Restaurant,que_ete,1 AVENUE DE SAINT MANDE,75012.0,"48.84570305194369, 2.395201719854501"
87919400900038,LE 3BIS PARIS,Inconnu,LE 3BIS PARIS 41 RUE DES PIROGUES DE BERCY Paris,Restaurant,que_ete,41 RUE DES PIROGUES DE BERCY,75012.0,"48.83309397802411, 2.3873699120484773"
85003491900017,PANANGKAI,PANANG KAI,PANANGKAI 13 RUE BECCARIA Paris,Restaurant,toute_annee,13 RUE BECCARIA,75012.0,"48.84748459226083, 2.3789021671572437"
