SIRET,Nom de l'enseigne,nom_etab_officiel,type_activite,temporalité,Typologie,Numéro et voie,Arrondissement,etatAdministratifEtablissement,geo_point_2d,activitePrincipaleEtablissement
53911722600024,CREPERIE PARIS BREIZH,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,1 RUE PAUL DUKAS,75012.0,A,"48.840743427503384, 2.3919657320102456",56.10A
95099268500012,COMMENT CA VA,COMMENT CA VA,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,2 PLACE EDOUARD RENARD,75012.0,A,"48.834984971375654, 2.4069869519969234",56.10C
81389236100029,INDIANA BERCY,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,11/13 RUE GABRIEL LAME,75012.0,A,"48.83392469801571, 2.3873531043232097",56.10A
54205081000010,SOC BRASSERIE DIDEROT,LE GLOBE,Restaurant,toute_annee,PLANCHER MOBILE,118 BOULEVARD DIDEROT,75012.0,A,"48.847251359480694, 2.38715695268924",56.10A
48752166800011,GOOD LUNCH,GOOD LUNCH,Restaurant,toute_annee,CONTRE-TERRASSE OUVERTE,280 AVENUE DAUMESNIL,75012.0,A,"48.83565606430259, 2.4058406077229484",56.10C
81464438100018,CHEZ CHARLETTE,CAFE CHARLETTE,Restaurant,toute_annee,TERRASSE OUVERTE,11 RUE D ALIGRE,75012.0,A,"48.84926809618365, 2.3782575784092685",56.10A
50819386900015,LY ZHONGPING NÉE HU,LE CHINOIS DE BERCY,Restaurant,toute_annee,TERRASSE OUVERTE,62 RUE DE BERCY,75012.0,A,"48.837706941342496, 2.3828034203253456",56.10A
50175889000013,FRANCIS HERLAUT,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,59 BOULEVARD DE REUILLY,75012.0,A,"48.83979077629848, 2.3984267823735657",56.10A
48883159500019,LA LOCOMOTIVE,LA LOCOMOTIVE,Restaurant,toute_annee,TERRASSE OUVERTE,215 RUE DE BERCY,75012.0,A,"48.84585326381746, 2.370705331267983",56.10A
54009323400016,L’ ADELITA,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,73 RUE CROZATIER,75012.0,A,"48.84955651427017, 2.3793458295689547",56.10C
49760469400016,AMALFI,AMALFI,Restaurant,toute_annee,TERRASSE OUVERTE,86 BOULEVARD DE PICPUS,75012.0,A,"48.846082287830676, 2.4012175740948334",56.10A
84235920000016,VIADUC,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,43 AVENUE DAUMESNIL,75012.0,A,"48.84757349636886, 2.375108194174978",56.10A
